county,fiscal_year,delivery_system,beneficiaries,yoy_growth_pct
Del Norte,2022/23,SMHS,1411.0,-3.68
El Dorado,2019/20,NSMHS,10732.0,
El Dorado,2019/20,SMHS,2443.0,
El Dorado,2020/21,NSMHS,11094.0,2.17
El Dorado,2020/21,SMHS,2367.0,2.17
El Dorado,2021/22,NSMHS,10391.0,-2.83
El Dorado,2021/22,SMHS,2689.0,-2.83
El Dorado,2022/23,NSMHS,10308.0,3.02
El Dorado,2022/23,SMHS,3167.0,3.02
Fresno,2019/20,NSMHS,67133.0,
Fresno,2019/20,SMHS,37734.0,
Fresno,2020/21,NSMHS,74852.0,7.04
Fresno,2020/21,SMHS,37397.0,7.04
Fresno,2021/22,NSMHS,72775.0,-2.4
Fresno,2021/22,SMHS,36778.0,-2.4
Fresno,2022/23,NSMHS,76792.0,3.0
Fresno,2022/23,SMHS,36049.0,3.0
Glenn,2019/20,NSMHS,2255.0,
Glenn,2019/20,SMHS,1357.0,
Glenn,2020/21,NSMHS,2463.0,2.88
Glenn,2020/21,SMHS,1253.0,2.88
Glenn,2021/22,NSMHS,2221.0,-4.12
Glenn,2021/22,SMHS,1342.0,-4.12
Glenn,2022/23,NSMHS,2177.0,5.08
Glenn,2022/23,SMHS,1567.0,5.08
Humboldt,2019/20,NSMHS,18132.0,
Humboldt,2019/20,SMHS,6552.0,
Humboldt,2020/21,NSMHS,21108.0,12.38
Humboldt,2020/21,SMHS,6632.0,12.38
Humboldt,2021/22,NSMHS,22129.0,1.52
Humboldt,2021/22,SMHS,6032.0,1.52
Humboldt,2022/23,NSMHS,22649.0,3.33
Humboldt,2022/23,SMHS,6449.0,3.33
Imperial,2019/20,NSMHS,11505.0,
Imperial,2019/20,SMHS,10853.0,
Imperial,2020/21,NSMHS,12014.0,2.25
Imperial,2020/21,SMHS,10848.0,2.25
Imperial,2021/22,NSMHS,12820.0,5.3
Imperial,2021/22,SMHS,11253.0,5.3
Imperial,2022/23,NSMHS,14027.0,6.05
Imperial,2022/23,SMHS,11503.0,6.05
Inyo,2019/20,NSMHS,1049.0,
Inyo,2019/20,SMHS,731.0,
Inyo,2020/21,NSMHS,1135.0,8.82
