county,fiscal_year,delivery_system,beneficiaries,yoy_growth_pct,dominant_sex,dominant_race,dominant_age_group
Santa Clara,2020/21,Total,91936.0,10.11,Female,Hispanic,21-32
Santa Clara,2021/22,Total,98659.0,7.31,Female,Hispanic,21-32
Santa Clara,2022/23,Total,105361.0,6.79,Female,Hispanic,21-32
Santa Cruz,2019/20,Total,33686.0,,Female,White,21-32
Santa Cruz,2020/21,Total,33283.0,-1.2,Female,White,21-32
Santa Cruz,2021/22,Total,34185.0,2.71,Female,White,21-32
Santa Cruz,2022/23,Total,35255.0,3.13,Female,White,21-32
Shasta,2019/20,Total,32609.0,,Female,White,33-44
Shasta,2020/21,Total,32551.0,-0.18,Female,White,33-44
Shasta,2021/22,Total,32709.0,0.49,Female,White,33-44
Shasta,2022/23,Total,35489.0,8.5,Female,White,33-44
Sierra,2019/20,Total,38.0,,Male,Asian/Pacific Islander,57-68
Sierra,2020/21,Total,56.0,47.37,Male,Asian/Pacific Islander,57-68
Sierra,2021/22,Total,116.0,107.14,Male,Asian/Pacific Islander,57-68
Sierra,2022/23,Total,79.0,-31.9,Male,Asian/Pacific Islander,57-68
Siskiyou,2019/20,Total,8225.0,,Female,White,33-44
Siskiyou,2020/21,Total,8398.0,2.1,Female,White,33-44
Siskiyou,2021/22,Total,8287.0,-1.32,Female,White,33-44
Siskiyou,2022/23,Total,7916.0,-4.48,Female,White,33-44
Small-Rural Counties,2019/20,Total,41800.0,,Female,White,33-44
Small-Rural Counties,2020/21,Total,43294.0,3.57,Female,White,33-44
Small-Rural Counties,2021/22,Total,43024.0,-0.62,Female,White,33-44
Small-Rural Counties,2022/23,Total,44484.0,3.39,Female,White,33-44
Solano,2019/20,Total,37091.0,,Female,White,21-32
Solano,2020/21,Total,38904.0,4.89,Female,White,21-32
Solano,2021/22,Total,39196.0,0.75,Female,White,21-32
Solano,2022/23,Total,40410.0,3.1,Female,White,21-32
Sonoma,2019/20,Total,44277.0,,Female,White,21-32
Sonoma,2020/21,Total,43065.0,-2.74,Female,White,21-32
Sonoma,2021/22,Total,45709.0,6.14,Female,White,21-32
Sonoma,2022/23,Total,49096.0,7.41,Female,White,21-32
Stanislaus,2019/20,Total,61542.0,,Female,White,21-32
Stanislaus,2020/21,Total,60504.0,-1.69,Female,White,21-32
Stanislaus,2021/22,Total,58415.0,-3.45,Female,White,21-32
Stanislaus,2022/23,Total,66791.0,14.34,Female,White,21-32
Sutter,2019/20,Total,9459.0,,Female,White,21-32
Sutter,2020/21,Total,9787.0,3.47,Female,White,21-32
Sutter,2021/22,Total,10109.0,3.29,Female,White,21-32
Sutter,2022/23,Total,10726.0,6.1,Female,White,21-32
Tehama,2019/20,Total,9078.0,,Female,White,21-32
Tehama,2020/21,Total,8595.0,-5.32,Female,White,21-32
Tehama,2021/22,Total,7943.0,-7.59,Female,White,21-32
Tehama,2022/23,Total,8606.0,8.35,Female,White,21-32
Trinity,2019/20,Total,1562.0,,Female,White,33-44
Trinity,2020/21,Total,1782.0,14.08,Female,White,33-44
Trinity,2021/22,Total,1790.0,0.45,Female,White,33-44
Trinity,2022/23,Total,1931.0,7.88,Female,White,33-44
Tulare,2019/20,Total,53548.0,,Female,Hispanic,21-32
Tulare,2020/21,Total,53938.0,0.73,Female,Hispanic,21-32
Tulare,2021/22,Total,56598.0,4.93,Female,Hispanic,21-32
Tulare,2022/23,Total,62250.0,9.99,Female,Hispanic,21-32
Tuolumne,2019/20,Total,6535.0,,Female,White,33-44
Tuolumne,2020/21,Total,6487.0,-0.73,Female,White,33-44
Tuolumne,2021/22,Total,6742.0,3.93,Female,White,33-44
Tuolumne,2022/23,Total,6901.0,2.36,Female,White,33-44
Ventura,2019/20,Total,64954.0,,Female,Hispanic,21-32
Ventura,2020/21,Total,70095.0,7.91,Female,Hispanic,21-32
Ventura,2021/22,Total,73305.0,4.58,Female,Hispanic,21-32
Ventura,2022/23,Total,79895.0,8.99,Female,Hispanic,21-32
Yolo,2019/20,Total,18408.0,,Female,White,21-32
Yolo,2020/21,Total,18144.0,-1.43,Female,White,21-32
Yolo,2021/22,Total,18910.0,4.22,Female,White,21-32
Yolo,2022/23,Total,19527.0,3.26,Female,White,21-32
Yuba,2019/20,Total,9801.0,,Female,White,21-32
Yuba,2020/21,Total,9401.0,-4.08,Female,White,21-32
Yuba,2021/22,Total,9986.0,6.22,Female,White,21-32
Yuba,2022/23,Total,10867.0,8.82,Female,White,21-32
